Date,Open,High,Low,Close,Adj Close,Volume
2008-05-01,61.005707,64.657631,58.623394,62.767475,34.704937,97363011
2008-06-01,62.425106,65.506416,61.533524,64.165482,35.689735,93019337
2008-07-01,63.787449,65.713264,55.477890,56.077034,31.190823,135028302
2008-08-01,56.376606,56.526390,51.512127,54.179745,30.135529,103318005
2008-09-01,54.650497,55.527817,42.796005,44.664764,25.011959,177516192
2008-10-01,44.179745,45.534950,29.407990,38.687588,21.664770,225411455
2008-11-01,38.587730,41.019970,31.547789,40.092724,22.451649,137793607
2008-12-01,39.629101,40.135521,34.778889,39.664764,22.436405,110859786
2009-01-01,39.764622,42.068474,36.084164,38.673325,21.875586,107296461
2009-02-01,38.238232,41.840229,32.810272,33.680454,19.051374,112607519
2009-03-01,32.981457,33.908703,27.396576,32.375179,18.486347,173408894
2009-04-01,32.018543,35.342369,31.554922,32.902996,18.787745,111061813
2009-05-01,32.981457,36.704708,32.310986,34.243938,19.553417,122612473
2009-06-01,34.650497,36.676178,32.974323,36.526390,21.072958,144313606
2009-07-01,36.783169,38.851643,33.737518,36.276749,20.928932,139034514
2009-08-01,36.611984,36.968616,34.664764,35.677605,20.583273,95261975
2009-09-01,35.492153,37.253922,34.236805,35.392296,20.633560,110778609
2009-10-01,35.342369,36.497860,33.116978,33.495007,19.527447,133657708
2009-11-01,33.637661,34.600571,32.738945,34.365192,20.034760,104626213
2009-12-01,34.436520,37.075607,34.436520,34.857346,20.548704,113961432
2010-01-01,35.000000,35.577747,32.524963,32.539230,19.182161,149715936
2010-02-01,32.696148,33.131241,30.649073,30.884451,18.206650,134101300
2010-03-01,31.148359,32.631954,30.649073,31.248217,18.642025,136785850
2010-04-01,31.376604,32.168331,30.513552,31.091297,18.548407,134447174
2010-05-01,31.298145,31.533524,20.114122,27.532097,16.425060,165557271
2010-06-01,27.425106,29.686163,26.562054,27.082739,16.358208,165378941
2010-07-01,27.168331,30.485022,26.840227,29.835949,18.021170,155818700
2010-08-01,29.957205,30.627674,28.188301,29.044224,17.542965,127110647
2010-09-01,29.315264,30.898716,29.108418,30.370899,18.576544,104522185
2010-10-01,30.599144,31.733238,28.808846,29.115549,17.808701,135603824
2010-11-01,29.308130,29.828815,27.853067,28.081312,17.176107,154878801
2010-12-01,28.323824,30.171185,28.002853,29.700428,18.398924,139413055
2011-01-01,29.942940,31.048502,29.693295,30.320971,18.783335,127227154
2011-02-01,30.520685,30.884451,29.243937,29.786020,18.451952,151788372
2011-03-01,29.793154,31.084166,27.860201,29.415121,18.445988,205510489
2011-04-01,29.436520,30.206846,28.195435,30.078459,18.861959,123951381
2011-05-01,30.099857,30.556349,29.215406,29.850214,18.718830,158036525
2011-06-01,29.857347,30.592010,29.179743,30.556349,19.403669,152000075
2011-07-01,30.556349,32.289585,30.370899,31.433666,19.960777,137530453
2011-08-01,31.726107,31.797432,28.181170,30.756063,19.530491,248304014
2011-09-01,30.798859,31.868759,29.664764,30.392298,19.554047,173070030
2011-10-01,30.320971,31.968616,28.480742,31.661913,20.370895,181158590
2011-11-01,31.333809,32.417973,29.771755,31.604851,20.334181,181581572
2011-12-01,31.490728,31.704708,29.871613,30.934380,20.137859,148838283
2012-01-01,30.827389,31.169758,27.510698,28.373753,18.470926,258111703
2012-02-01,28.466476,28.751783,27.689016,27.867332,18.141256,209247240
2012-03-01,27.817404,28.495007,27.325251,27.967190,18.449381,201006001
2012-04-01,28.038515,28.067047,26.733238,27.824535,18.422836,189184758
2012-05-01,27.817404,28.081312,26.034237,26.376604,17.464151,197391227
2012-06-01,26.069901,27.810270,25.870186,26.833096,17.941015,189427165
2012-07-01,26.840227,28.402283,26.412268,27.902996,18.656363,133276363
2012-08-01,28.131241,28.352354,25.962910,26.012838,17.392582,198157138
2012-09-01,26.091297,26.091297,24.636234,25.378031,17.200159,166789491
2012-10-01,25.435093,26.747503,25.106991,25.520685,17.296837,144440207
2012-11-01,25.677603,26.276749,20.256777,21.554922,14.609010,366105242
2012-12-01,21.554922,21.868759,20.606277,21.212553,14.626522,207078764
2013-01-01,21.462196,22.489302,20.756063,22.425106,15.462611,215955671
2013-02-01,22.460770,23.252497,21.490728,22.104137,15.241290,254259291
2013-03-01,22.082739,24.650499,21.854494,24.593437,17.244305,159477781
2013-04-01,24.550642,26.961485,24.457916,26.754637,18.759686,176218360
2013-05-01,26.590586,26.704708,22.353781,22.353781,15.673919,258694235
2013-06-01,22.382311,22.831669,21.283880,22.025679,15.578946,205772099
2013-07-01,22.075605,23.124107,20.998573,21.818830,15.432643,147855762
2013-08-01,21.811699,22.432240,21.162624,21.747503,15.382195,220069977
2013-09-01,21.868759,22.246790,20.984308,21.141228,15.104118,140197896
2013-10-01,21.162624,21.818830,19.671898,20.356632,14.543576,248375796
2013-11-01,20.435093,20.784594,19.165478,19.194010,13.712950,255178160
2013-12-01,19.222540,20.328102,19.001427,19.536377,14.112857,218435528
2014-01-01,19.586306,20.905849,18.865906,20.684736,14.942420,209406226
2014-02-01,20.770329,22.075605,20.378031,21.690441,15.668934,215615543
2014-03-01,21.569187,24.208275,20.784594,23.937233,17.475815,191204902
2014-04-01,23.965763,26.105562,23.616262,24.985735,18.241297,217767332
2014-05-01,25.285307,26.283880,23.894438,26.269615,19.178616,246152225
2014-06-01,26.119829,26.911554,24.828815,26.019972,19.163092,297393220
2014-07-01,25.734665,25.863052,21.968616,22.168331,16.326448,248619184
2014-08-01,22.211126,23.837376,21.868759,23.837376,17.555658,164213455
2014-09-01,23.844507,24.900143,23.238232,24.315264,18.083511,168814680
2014-10-01,24.386591,26.312410,23.587732,26.098431,19.409668,224951461
2014-11-01,26.069901,27.032810,24.743223,25.798859,19.186874,165903427
2014-12-01,25.634808,27.767475,25.028530,26.447931,19.833334,193760889
2015-01-01,26.447931,27.282454,25.684736,25.706135,19.277061,160166024
2015-02-01,25.677603,26.383738,23.259628,24.194010,18.143120,215386597
2015-03-01,24.194010,24.265335,22.617689,23.972897,18.137959,234948984
2015-04-01,23.266762,24.500713,23.038515,24.265335,18.359213,190367345
2015-05-01,24.293865,24.950071,23.502140,24.129814,18.256680,160344777
2015-06-01,24.258204,24.629101,22.310984,22.410843,17.113764,201457442
2015-07-01,22.475037,24.094151,21.847361,22.888729,17.478689,277189280
2015-08-01,22.874466,24.564907,21.619116,21.940086,16.754274,279769380
2015-09-01,21.690441,22.781740,20.263908,21.184023,16.334713,247928701
2015-10-01,21.162624,22.375177,19.764622,19.914408,15.355732,251740176
2015-11-01,19.950071,20.834522,19.457916,19.479315,15.020239,225757751
2015-12-01,19.600571,19.971470,17.895863,19.807419,15.439366,233834952
2016-01-01,19.600571,21.162624,18.730385,21.091297,16.440113,212909402
2016-02-01,20.970043,23.623396,20.870186,22.460770,17.507584,271028471
2016-03-01,22.660484,25.641939,22.018545,25.577745,20.132584,213837668
2016-04-01,25.492153,25.641939,23.666191,25.028530,19.700289,160676911
2016-05-01,25.149786,25.641939,23.730385,24.443651,19.239922,147074707
2016-06-01,24.450785,25.941511,23.972897,25.934380,20.599390,167176301
2016-07-01,25.998573,26.783167,25.228245,26.590586,21.120609,124913855
2016-08-01,26.533524,26.890158,23.972897,24.251070,19.262356,162073023
2016-09-01,24.186876,25.156919,23.437946,23.744650,19.030441,139179624
2016-10-01,23.716120,24.343796,22.596291,24.300999,19.476330,138502038
2016-11-01,24.265335,24.293865,21.269615,23.188301,18.584551,198460529
2016-12-01,23.052782,25.934380,22.660484,25.313837,20.491272,210547454
2017-01-01,25.442225,25.827389,24.821684,25.592010,20.716452,145004094
2017-02-01,25.435093,26.526390,24.586306,26.184023,21.195681,144176212
2017-03-01,25.905849,26.126961,25.178316,25.663338,20.970596,144075969
2017-04-01,25.641939,26.012838,24.629101,24.700428,20.183765,123225565
2017-05-01,24.714693,25.998573,23.751783,25.898716,21.162939,190444736
2017-06-01,25.855921,26.704708,25.534950,25.727531,21.229307,130589432
2017-07-01,25.820257,27.460770,25.228245,27.346647,22.565342,127738464
2017-08-01,27.446505,27.660484,26.569187,27.011412,22.288721,128885018
2017-09-01,27.068474,27.460770,26.126961,26.868759,22.365381,155239815
2017-10-01,26.968616,28.801712,26.783167,28.680456,23.873430,142810944
2017-11-01,28.758917,30.435093,28.152639,29.750357,24.764006,136929555
2017-12-01,29.878744,30.021399,27.646219,28.109842,23.582230,158634336
2018-01-01,28.202568,28.445078,26.918688,27.467903,23.043682,199137557
2018-02-01,27.482168,27.610556,25.370899,26.419401,22.164059,220539507
2018-03-01,26.519258,28.045649,26.034237,27.824535,23.562521,188693218
2018-04-01,27.888729,28.523539,26.711840,28.302425,23.967209,144645882
2018-05-01,28.530670,29.757488,27.888729,29.522112,25.000072,198732518
2018-06-01,29.522112,30.470757,28.266762,30.385164,25.951227,189503713
2018-07-01,30.435093,30.813124,29.222540,30.313837,25.890306,151045873
2018-08-01,30.085592,32.132668,29.757488,31.176889,26.627424,152865247
2018-09-01,31.447931,31.990013,30.092726,31.141228,26.810530,152174061
2018-10-01,30.998573,32.004280,30.271042,31.248217,26.902643,194351828
2018-11-01,31.340942,33.131241,30.684736,33.088444,28.486954,165576760
2018-12-01,33.059914,33.808846,30.741796,32.168331,27.904493,168728877
2019-01-01,31.940086,34.186874,31.034237,34.065620,29.550304,155933242
2019-02-01,34.001427,34.928673,32.831669,34.657631,30.063841,150153639
2019-03-01,34.736092,36.269615,34.308132,35.756062,31.251745,158536477
2019-04-01,35.905849,36.398003,34.800285,36.340942,31.762953,160534468
2019-05-01,36.205421,36.248219,34.008560,34.293865,29.973747,137878426
2019-06-01,34.457916,36.504993,33.794579,34.194008,30.105831,143323655
2019-07-01,34.215408,35.520683,32.025677,32.139801,28.297220,180753272
2019-08-01,31.412268,33.858772,31.162624,33.708988,29.678801,183635363
2019-09-01,33.580601,35.178318,33.266762,34.457916,30.582060,153282342
2019-10-01,34.407990,34.650497,30.970043,32.446507,28.796898,226656012
2019-11-01,32.410843,32.753208,31.248217,31.669044,28.106884,195128956
2019-12-01,31.597717,32.617687,31.077032,32.517834,29.097557,171688219
2020-01-01,32.653351,34.436520,32.182594,33.944366,30.374041,176663076
2020-02-01,34.008560,36.048504,30.185450,30.748930,27.514713,160827906
2020-03-01,30.805990,33.430813,20.884451,26.255350,23.673744,303079735
